text,general_distress,peer_pressure,substance_exposure,craving_or_relapse_risk,immediate_help_request
Please help me now because I might use again.,1,0,0,1,1
A person asked whether I wanted to try something at a friend's house.,0,0,1,0,0
I keep ending up around people who use at after school.,0,0,1,0,0
There are drugs around me when I go to a gathering.,0,0,1,0,0
The cravings are strong tonight.,1,0,0,1,0
There are drugs around me when I go to the weekend event.,0,0,1,0,0
I am worried I might relapse because I feel alone.,1,0,0,1,0
I am struggling to cope and I do not know who to talk to.,1,0,0,0,0
My group says I have to smoke with them.,0,1,1,0,0
I have been anxious because of problems at home.,1,0,0,0,0
Everything feels too much most evenings.,1,0,0,0,0
I watched a documentary about addiction recovery.,0,0,0,0,0
I feel stressed about my examination. I feel safe right now.,0,0,0,0,0
I cannot calm down because of problems at home.,1,0,0,0,0
I am unsafe and need support right away.,1,0,0,0,1
Please stay with me and get help.,1,0,0,0,1
I do not want to use drugs. This is for a project.,0,0,0,0,0
A person asked whether I wanted to try something at a party.,0,0,1,0,0
Everything feels too much and I do not know who to talk to.,1,0,0,0,0
I feel tempted to use again when I feel stressed.,1,0,0,1,0
I keep thinking about going back when I feel stressed.,1,0,0,1,0
Our teacher explained how to refuse peer pressure. It was educational.,0,0,0,0,0
I said no when someone offered me something.,0,0,0,0,0
I feel stressed about my examination. This is for a project.,0,0,0,0,0
My friends keep pressuring me take something tonight.,0,1,1,0,0
Everything feels too much for the past few days.,1,0,0,0,0
I need urgent support.,1,0,0,0,1
People at the party want me take something tonight.,0,1,1,0,0
The news report mentioned illegal substances. This is for a project.,0,0,0,0,0
I feel overwhelmed most evenings.,1,0,0,0,0
I watched a documentary about addiction recovery. This is for a project.,0,0,0,0,0
"I may relapse tonight, please contact someone.",1,0,0,1,1
The cravings are strong because I feel alone.,1,0,0,1,0
I want to stay in recovery but I feel tempted because I feel alone.,1,0,0,1,0
I am tired after football practice. I am asking for general information.,0,0,0,0,0
My classmates are pushing me try their pills.,0,1,1,0,0
I cannot calm down when I am alone.,1,0,0,0,0
Coffee made me feel restless this morning.,0,0,0,0,0
I nearly used again when I feel stressed.,1,0,0,1,0
I am in danger and want someone contacted.,1,0,0,0,1
Being here makes me want to use again after seeing old friends.,1,0,0,1,0
I am worried I might relapse when I feel stressed.,1,0,0,1,0
I am tired after football practice.,0,0,0,0,0
I said no when someone offered me something. This is for a project.,0,0,0,0,0
I feel isolated most evenings.,1,0,0,0,0
I feel tempted to use again after a difficult day.,1,0,0,1,0
My classmates are pushing me use what they are offering.,0,1,1,0,0
My classmates are pushing me join them after school.,0,1,1,0,0
I feel isolated when I am alone.,1,0,0,0,0
I have been anxious when I am alone.,1,0,0,0,0
I nearly used again and I need a distraction.,1,0,0,1,0
I have been feeling hopeless after school.,1,0,0,0,0
I feel overwhelmed for the past few days.,1,0,0,0,0
I am in a triggering place and need someone to call me.,1,0,0,1,1
I have been feeling hopeless for the past few days.,1,0,0,0,0
Everything feels too much when I am alone.,1,0,0,0,0
I keep ending up around people who use at the weekend event.,0,0,1,0,0
I want general information about staying healthy. It was educational.,0,0,0,0,0
I want general information about staying healthy.,0,0,0,0,0
I keep ending up around people who use at the bus stop.,0,0,1,0,0
They keep telling me it is harmless if I join them after school.,0,1,1,0,0
Someone keeps daring me use what they are offering.,0,1,1,0,0
My friend said the actor needed help in the movie. I feel safe right now.,0,0,0,0,0
I need help now.,1,0,0,0,1
I do not know how to say no when they ask me try their pills.,0,1,1,0,0
I cannot manage this craving and need immediate help.,1,0,0,1,1
I keep ending up around people who use at a friend's house.,0,0,1,0,0
My classmates are pushing me drink what they brought.,0,1,1,0,0
I nearly used again after seeing old friends.,1,0,0,1,0
I am worried I might relapse tonight.,1,0,0,1,0
I want to stay in recovery but I feel tempted and I need a distraction.,1,0,0,1,0
I am proud that I followed my recovery plan today. This is for a project.,0,0,0,0,0
I am worried I might relapse after seeing old friends.,1,0,0,1,0
People at the party want me use what they are offering.,0,1,1,0,0
People were using substances near me at the park.,0,0,1,0,0
I am scared my friends will reject me if I do not join them after school.,0,1,1,0,0
I am learning about first aid. It was educational.,0,0,0,0,0
Someone offered me an unknown pill at a friend's house.,0,0,1,0,0
There are drugs around me when I go to the bus stop.,0,0,1,0,0
I do not want to use drugs. I feel safe right now.,0,0,0,0,0
I am scared my friends will reject me if I do not try their pills.,0,1,1,0,0
I feel overwhelmed and I do not know who to talk to.,1,0,0,0,0
My stress is getting worse because of problems at home.,1,0,0,0,0
I am scared my friends will reject me if I do not drink what they brought.,0,1,1,0,0
There are drugs around me when I go to after school.,0,0,1,0,0
The cravings are strong and I need a distraction.,1,0,0,1,0
I have been feeling hopeless when people argue around me.,1,0,0,0,0
Someone keeps daring me take something tonight.,0,1,1,0,0
I am scared my friends will reject me if I do not smoke with them.,0,1,1,0,0
I nearly used again tonight.,1,0,0,1,0
I feel isolated after school.,1,0,0,0,0
I am tired after football practice. This is for a project.,0,0,0,0,0
They keep telling me it is harmless if I try their pills.,0,1,1,0,0
The app should protect private conversations. It was educational.,0,0,0,0,0
My stress is getting worse and I cannot focus.,1,0,0,0,0
They keep telling me it is harmless if I take something tonight.,0,1,1,0,0
People at the party want me drink what they brought.,0,1,1,0,0
"Help me now, I do not feel safe.",1,0,0,0,1
My friend said the actor needed help in the movie.,0,0,0,0,0
Exercise made my heart rate increase.,0,0,0,0,0
I feel overwhelmed by cravings and I am unsafe.,1,0,0,1,1
My stress is getting worse and I do not know who to talk to.,1,0,0,0,0
Someone keeps daring me drink what they brought.,0,1,1,0,0
I nearly used again after a difficult day.,1,0,0,1,0
I feel isolated and I do not know who to talk to.,1,0,0,0,0
My friends keep pressuring me smoke with them.,0,1,1,0,0
I said no when someone offered me something. I feel safe right now.,0,0,0,0,0
I am proud that I followed my recovery plan today. It was educational.,0,0,0,0,0
A person asked whether I wanted to try something at my neighbourhood.,0,0,1,0,0
Someone offered me an unknown pill at a gathering.,0,0,1,0,0
People were using substances near me at the weekend event.,0,0,1,0,0
I feel overwhelmed when people argue around me.,1,0,0,0,0
My family attended a prevention workshop. I feel safe right now.,0,0,0,0,0
